T1,T2,T3,Tave,HW,FinalExam,CourseAverage
80.7,87.5,79.4,82.5,100,76,85
68.6,87,79.4,78.3,69,66,77.7
82.9,88,84.7,85.2,98,46,75.6
52.1,83,59.4,64.9,59,56,64.9
7.9,23.5,0,10.5,29,0,12.7
47.1,50.5,0,32.5,90,34,39.7
77.1,87.5,81.2,81.9,95,80,82.2
92.1,99.5,92.9,94.9,99,82,91.5
57.9,73.5,70.6,67.3,81,46,64
86.4,78,73.5,79.3,41,60,70.4
79.3,61,74.1,71.5,83,52,69.8
74.3,86,66.5,75.6,90,64,75.9
85,81,82.4,82.8,78,72,81.8
67.1,25,58.2,50.1,28,44,47.9
81.4,91.5,91.8,88.2,89,80,86.3
82.1,78.5,83.5,81.4,70,64,73.3
54.3,79,0,44.4,46,0,38.5
90.7,87.5,98.8,92.3,44,82,84.4
48.6,58.5,44.7,50.6,51,46,54.3
69.3,86,62.4,72.5,90,74,76
80.7,73,62.4,72,62,52,65.7
59.3,92,86.5,79.3,100,88,86.4
86.4,95,95.9,92.4,31,84,82.5
94.3,75,86,85.1,66,86,83.6
65,84.5,85.9,78.5,94,54,74.2
92.9,90,95.9,92.9,96,86,91.4
0,65,0,21.7,8,0,13.5
35,58,62.4,51.8,66,44,54.8
68.6,47,33.5,49.7,6,42,46.6
59.3,61.5,64.1,61.6,85,50,61.1
52.9,39.5,21.2,37.8,78,36,42.7
67.9,91,74.7,77.9,84,56,73.2
84.3,97.5,88.2,90,98,86,91.1
92.1,64,93.5,83.2,91,64,80.1
61.4,77.5,75.3,71.4,55,82,71
86.4,81,80.6,82.7,90,72,82
56.4,69,0,41.8,47,0,33.5
92.1,77,52,73.7,83,52,70.3
70.7,83,47.6,67.1,99,48,67.9
75,83,64.1,74,58,54,64.8
65,57,46.5,56.2,85,74,65.9
88.6,84,79.4,84,94,80,84.3
87.9,98.5,85.3,90.6,99,80,88.4
81.4,91,66.5,79.6,100,50,75.4
81.4,99,80.6,87,93,68,80.6
63.6,54.5,52.4,56.8,97,52,63.5
77.1,88.5,92.4,86,94,80,86.7
88.6,81,91.8,87.1,97,56,80.7
94.3,88.5,90,90.9,100,82,89.8
51.4,61,0,37.5,47,0,32
62.9,0,0,21,40,0,23.1
0,0,0,0,30,0,11
87.9,99.5,97.1,94.8,100,82,91.3
52.9,53.5,0,35.5,50,0,31.5
83.6,57.5,67.1,69.4,78,78,73.6
92.1,88.5,95.9,92.2,100,86,91.7
81.4,63,64.7,69.7,92,68,74.9
90,99.5,91.8,93.8,98,84,92.7
73.6,69.5,71.2,71.4,95,62,69.9
77.9,57.5,59.4,64.9,100,56,66.3
68.6,74.5,82.9,75.3,100,62,75.4
71.4,85.5,70.6,75.8,74,66,74
52.1,49,0,33.7,57,0,26.8
53.6,57.5,53.5,54.9,52,64,58.9
